landcover_name,percentage
Deciduous Broadleaf forest,10.113820308828043
Woody savannas,1.999156893563966
Savannas,29.165927083962245
Grasslands,26.697290378552772
Croplands,3.9935330923414494
Urban and built-up,27.986132843782695
Cropland/Natural vegetation mosaic,0.28250730138985036
