category,value
Total Heat Island Area,143073957.50092545
Number of Hot Spots,33
Total Hot Spot Area,2089772.3792567865
Number of Cold Spots,29
Total Cold Spot Area,39378772.49456909
Total Area Surface (m^2),174413631.6096127
